// ===============================================================================================================================================================================================================================================================================================================
// 2023-11-22, 12:19:48, 0
//           Index             Phase      Displacement              Time             Pos X             Pos Y             Pos Z           Piezo X           Piezo Y           Piezo Z           Force A           Force B           Gripper         Voltage A         Voltage B       Temperature      Indent Depth
//             [#]               [#]              [um]               [s]              [um]              [um]              [um]              [um]              [um]              [um]              [uN]              [uN]               [V]               [V]               [V]              [°C]              [um]
// ===============================================================================================================================================================================================================================================================================================================
           0.00000           2.00000          13.58550       14552.41067        -857.86900        -422.19500      -27142.80200          -0.00014           0.00010          13.58693           1.49403               NaN           0.00000          -0.00135          -0.00454          22.76753          35.75325
           0.00000           2.00000          13.71207       14552.41567        -857.86900        -422.19521      -27142.80185           0.00006          -0.00010          13.71351           1.51477               NaN           0.00000          -0.00135          -0.00456          22.76737          35.87981
           0.00000           2.00000          13.83789       14552.42067        -857.86900        -422.19600      -27142.80100          -0.00000          -0.00034          13.83933           1.52411               NaN           0.00000          -0.00137          -0.00457          22.76725          36.00563
           0.00000           2.00000          13.96564       14552.42567        -857.86900        -422.19600      -27142.80121          -0.00012          -0.00031          13.96709           1.54021               NaN           0.00000          -0.00135          -0.00456          22.76752          36.13338
           0.00000           2.00000          14.09290       14552.43067        -857.86900        -422.19600      -27142.80200          -0.00006          -0.00002          14.09436           1.54917               NaN           0.00000          -0.00130          -0.00456          22.76755          36.26065
           0.00000           2.00000          14.21842       14552.43567        -857.86885        -422.19600      -27142.80179          -0.00028          -0.00006          14.21989           1.56140               NaN           0.00000          -0.00134          -0.00461          22.76738          36.38616
           0.00000           2.00000          14.34551       14552.44067        -857.86800        -422.19600      -27142.80100          -0.00020          -0.00030          14.34699           1.58069               NaN           0.00000          -0.00141          -0.00458          22.76740          36.51326
           0.00000           2.00000          14.47322       14552.44567        -857.86815        -422.19628      -27142.80100          -0.00036          -0.00012          14.47471           1.59259               NaN           0.00000          -0.00147          -0.00460          22.76741          36.64097
           0.00000           2.00000          14.59921       14552.45067        -857.86900        -422.19700      -27142.80100           0.00005          -0.00006          14.60070           1.60403               NaN           0.00000          -0.00145          -0.00457          22.76762          36.76695
           0.00000           2.00000          14.72548       14552.45567        -857.86864        -422.19658      -27142.80121           0.00027          -0.00024          14.72699           1.62160               NaN           0.00000          -0.00142          -0.00454          22.76750          36.89322
           0.00000           2.00000          14.85312       14552.46067        -857.86800        -422.19500      -27142.80200           0.00033           0.00017          14.85464           1.63373               NaN           0.00000          -0.00143          -0.00455          22.76753          37.02087
           0.00000           2.00000          14.97929       14552.46567        -857.86800        -422.19500      -27142.80200           0.00002          -0.00030          14.98081           1.64274               NaN           0.00000          -0.00145          -0.00455          22.76728          37.14704
           0.00000           2.00000          15.10496       14552.47067        -857.86800        -422.19500      -27142.80200           0.00021          -0.00001          15.10649           1.65732               NaN           0.00000          -0.00141          -0.00459          22.76740          37.27271
           0.00000           2.00000          15.23247       14552.47567        -857.86800        -422.19521      -27142.80185           0.00030           0.00038          15.23401           1.67814               NaN           0.00000          -0.00149          -0.00460          22.76748          37.40021
           0.00000           2.00000          15.35880       14552.48067        -857.86800        -422.19600      -27142.80100           0.00036          -0.00038          15.36035           1.68642               NaN           0.00000          -0.00145          -0.00454          22.76750          37.52655
           0.00000           2.00000          15.48396       14552.48567        -857.86828        -422.19600      -27142.80115           0.00028          -0.00020          15.48552           1.69645               NaN           0.00000          -0.00145          -0.00465          22.76757          37.65171
           0.00000           2.00000          15.61108       14552.49067        -857.86900        -422.19600      -27142.80200           0.00011          -0.00017          15.61265           1.71822               NaN           0.00000          -0.00148          -0.00459          22.76740          37.77882
           0.00000           2.00000          15.73847       14552.49567        -857.86900        -422.19600      -27142.80200          -0.00013          -0.00049          15.74005           1.72314               NaN           0.00000          -0.00146          -0.00463          22.76753          37.90622
           0.00000           2.00000          15.86339       14552.50067        -857.86900        -422.19600      -27142.80200          -0.00001          -0.00023          15.86497           1.73639               NaN           0.00000          -0.00146          -0.00456          22.76745          38.03114
           0.00000           2.00000          15.98973       14552.50567        -857.86858        -422.19600      -27142.80200           0.00003          -0.00019          15.99133           1.75505               NaN           0.00000          -0.00146          -0.00458          22.76748          38.15748
