Index [#],Phase [#],Displacement [um],Time [s],Pos X [um],Pos Y [um],Pos Z [um],Piezo X [um],Piezo Y [um],Piezo Z [um],Force A [uN],Force B [uN],Gripper [V],Voltage A [V],Voltage B [V],Temperature [oC],Indent Depth [um],Filtered time [uN},Filtered force [uN],SG Force [uN],Est Force 2nd derivative,Filtered displacement [um],Sel Time [s],Sel Force [N],Sel Modulus Uncorrected [Pa],Sel Modulus Corrected [Pa],Sel Modulus GMM Fit [Pa],Sel Time Normalised [s m-2],Sel Force Normalised []
0.0,3.0,50.09029,14553.97067,-857.868,-422.195,-27142.801,-5e-05,-0.00021,50.24545,240.38639,,0.0,-0.00149,-0.00457,22.76767,72.25803,,,,,,2.1599999999998545,0.00021250359,92005.04891508844,92005.04891508844,91968.93662175538,2.3136256901580202e+17,0.17694127581976815
0.0,3.0,50.09445,14553.97567,-857.86815,-422.19528,-27142.80121,0.00023,-6e-05,50.24934,239.96379,,0.0,-0.00149,-0.00449,22.76754,72.2622,,,,,,2.165000000000873,0.00021271885999999998,92098.2517022976,92098.2517022976,91963.40025278044,2.3189813051826256e+17,0.18002498027041924
0.0,3.0,50.09902,14553.98067,-857.869,-422.196,-27142.802,0.00023,0.00022,50.25379,239.77428,,0.0,-0.00143,-0.00452,22.7676,72.26677,,,,,,2.1700000000000728,0.0002121658,91858.8001600767,91858.8001600767,91957.87887182723,2.3243369202052826e+17,0.17210249416702705
0.0,3.0,50.10112,14553.98567,-857.86885,-422.196,-27142.80179,9e-05,-0.00021,50.25519,238.69348,,0.0,-0.00147,-0.00456,22.76749,72.26887,,,,,,2.1750000000010914,0.00021224285999999997,91892.16387439979,91892.16387439979,91952.37239830813,2.329692535229888e+17,0.17320636495704475
0.0,3.0,50.10314,14553.99067,-857.868,-422.196,-27142.801,0.00014,-0.00018,50.25679,238.04512,,0.0,-0.00147,-0.00452,22.76768,72.27089,,,,,,2.180000000000291,0.00021272834999999998,92102.3604701269,92102.3604701269,91946.88075214384,2.335048150252545e+17,0.18016092283202412
0.0,3.0,50.10607,14553.99567,-857.86836,-422.196,-27142.801,6e-05,0.0004,50.25972,238.04503,,0.0,-0.00147,-0.00455,22.76763,72.27382,,,,,,2.1850000000013097,0.00021229404,91914.32264547504,91914.32264547504,91941.40385374411,2.3404037652771504e+17,0.17393950935145377
0.0,3.0,50.10715,14554.00067,-857.869,-422.196,-27142.801,-0.00016,6e-05,50.26029,237.25059,,0.0,-0.00143,-0.0045,22.76767,72.2749,,,,,,2.1900000000005093,0.00021206423999999997,91814.82898402352,91814.82898402352,91935.94162402058,2.3457593802998074e+17,0.17064766523587896
0.0,3.0,50.10747,14554.00567,-857.869,-422.19572,-27142.80085,8e-05,-0.00015,50.26008,236.42783,,0.0,-0.00141,-0.00457,22.76762,72.27521,,,,,,2.195000000001528,0.00021260561999999998,92049.22358122376,92049.22358122376,91930.49398436779,2.3511149953244128e+17,0.17840283741729623
0.0,3.0,50.10886,14554.01067,-857.869,-422.195,-27142.8,0.00046,0.00023,50.26149,236.45002,,0.0,-0.0014,-0.00452,22.76773,72.27661,,,,,,2.2000000000007276,0.00021247113,91990.9951106902,91990.9951106902,91925.0608566759,2.3564706103470698e+17,0.1764762920948264
0.0,3.0,50.10952,14554.01567,-857.86864,-422.195,-27142.80015,8e-05,-0.00023,50.26184,235.98583,,0.0,-0.00142,-0.00453,22.76758,72.27726,,,,,,2.2049999999999272,0.00021202108,91796.14253307381,91796.14253307381,91919.64216331372,2.3618262253697267e+17,0.1700294059146077
